corpus,sample_id,AWC,CTC,CVC,cds.min,ID.h,ID.N,aclew_id,Row,ChiID,chi_gender,adu_univ,AgeMonths,mat_ed,number_older_sibs,mother_dob,mat_ed_num,mat_ed_num3,n_sibs,agem.c,age.bin,age.qrt,cds.minph,cds.minph.lg,ads.minph,ads.min,prp.cds
Bergelson,B-28,13564,72,177,1.2763333333333333,0.13366666666666666,20,1844,51,28,female,yes,10,AD,0,31,5,3,0,-0.8360655737704921,0,2,9.548628428927682,2.3559958447337546,5.3142144638404,0.7103333333333334,0.6424496644295302
Bergelson,B-29,10774,280,1460,1.652,0.1385,20,2880,53,29,female,yes,13,BA,0,36,4,2,0,2.163934426229508,1,3,11.927797833935017,2.559379863811094,3.090252707581227,0.428,0.7942307692307692
Bergelson,B-30,23831,623,1430,3.5125,0.17583333333333334,17,6205,55,30,male,yes,14,AD,0,38,5,3,0,3.163934426229508,1,3,19.976303317535546,3.0433933871349286,1.9668246445497628,0.3458333333333333,0.9103671706263499
Bergelson,B-31,13204,346,1637,1.6068333333333333,0.162,20,4041,57,31,female,yes,13,AD,1,35,5,3,1,2.163934426229508,1,3,9.918724279835391,2.3904791393013833,0,0,1
Bergelson,B-32,30397,216,565,1.6131666666666666,0.28350000000000003,20,7186,59,32,female,yes,7,AD,2,31,5,3,2,-3.836065573770492,0,2,5.690182245737801,1.90064111528446,28.462669018224567,8.069166666666666,0.16660928839467073
Bergelson,B-33,22752,1425,5130,2.8198333333333334,0.22683333333333333,19,0955,61,33,male,yes,15,AD,0,35,5,3,0,4.163934426229508,1,3,12.4313005143277,2.597587842356675,1.319617927994122,0.29933333333333334,0.904034197168047
Bergelson,B-34,5047,157,841,0.7393333333333333,0.1635,20,9645,63,34,male,no,17,SC,0,33,3,1,0,6.163934426229508,1,3,4.521916411824669,1.7087249760925358,0.6503567787971457,0.10633333333333334,0.8742609381158849
Bergelson,B-35,10792,310,769,1.505,0.14049999999999999,20,7117,65,35,female,no,15,SC,0,34,3,1,0,4.163934426229508,1,3,10.711743772241993,2.460592079609594,3.2040332147093715,0.45016666666666666,0.7697553490751001
Bergelson,B-36,19518,394,1409,3.727316666666667,0.2921666666666667,16,5750,67,36,female,yes,7,AD,3,36,5,3,2,-3.836065573770492,0,2,12.75750142612664,2.6215842336135298,9.944666286366228,2.9055,0.5619508052134714
Bergelson,B-37,19114,225,670,3.72735,0.34299999999999997,20,5407,69,37,male,yes,6,BA,1,30,4,2,1,-4.836065573770492,0,2,10.866909620991255,2.4737538226593303,15.667541302235183,5.373966666666667,0.40953964536266735
